"Date";"Name / Description";"Account";"Counterparty";"Code";"Debit/credit";"Amount (EUR)";"Transaction type";"Notifications";"Resulting balance";"Tag"
"20230601";"Alien Slime";"NL37INGB00000000";"Toy Store";"SLI-20230601";"Debit";"4.75";"Expense";"Completed";"4027.49";""
"20230605";"Laughing Clown";"NL37INGB00000000";"Carnival";"CLU-20230605";"Debit";"8.50";"Expense";"Completed";"4018.99";""
"20230610";"Superhero Cape";"NL37INGB00000000";"Costume Shop";"CAP-20230610";"Debit";"12.99";"Expense";"Completed";"4006.00";""
"20230615";"Tickle Feather";"NL37INGB00000000";"Prank Store";"TIC-20230615";"Debit";"2.49";"Expense";"Completed";"4003.51";""
"20230620";"Colorful Kite";"NL37INGB00000000";"Toy Store";"KIT-20230620";"Debit";"9.99";"Expense";"Completed";"3993.52";""
"20230625";"Gooey Slime";"NL37INGB00000000";"Toy Store";"GOO-20230625";"Debit";"6.50";"Expense";"Completed";"3987.02";""
"20230629";"Funny Face Masks";"NL37INGB00000000";"Party Store";"MAS-20230629";"Debit";"4.99";"Expense";"Completed";"3982.03";""
"20230704";"Silly Socks";"NL37INGB00000000";"Clothing Store";"SOC-20230704";"Debit";"8.99";"Expense";"Completed";"3973.04";""
"20230709";"Bubble Wrap Madness";"NL37INGB00000000";"Office Supplies";"BUB-20230709";"Debit";"6.75";"Expense";"Completed";"3966.29";""
"20230714";"Bouncing Balls";"NL37INGB00000000";"Toy Store";"BAL-20230714";"Debit";"3.50";"Expense";"Completed";"3962.79";""
"20230719";"Silly Sunglasses";"NL37INGB00000000";"Accessories Store";"SUN-20230719";"Debit";"9.99";"Expense";"Completed";"3952.80";""
"20230724";"Whoopee Cushion";"NL37INGB00000000";"Prank Store";"WHE-20230724";"Debit";"2.99";"Expense";"Completed";"3949.81";""
"20230728";"Flying Saucer";"NL37INGB00000000";"Toy Store";"FLY-20230728";"Debit";"19.50";"Expense";"Completed";"3930.31";""
"20230405";"Grocery Shopping";"NL37INGB00000000";"Supermarket XYZ";"GRO-20230405";"Debit";"85.75";"Expense";"Completed";"3860.56";""
"20230411";"Utility Bill Payment";"NL37INGB00000000";"Utility Company";"BIL-20230411";"Debit";"120.00";"Expense";"Completed";"3740.56";""
"20230416";"Car Service";"NL37INGB00000000";"Auto Repair";"SER-20230416";"Debit";"200.00";"Expense";"Completed";"3540.56";""
"20230420";"Childcare Expenses";"NL37INGB00000000";"Little Stars Daycare";"DAY-20230420";"Debit";"500.00";"Expense";"Completed";"3040.56";""
"20230426";"Insurance Premium";"NL37INGB00000000";"Insurance Company";"INS-20230426";"Debit";"150.00";"Expense";"Completed";"2890.56";""
"20230502";"Electronics Purchase";"NL37INGB00000000";"Electronics Store";"ELE-20230502";"Debit";"650.00";"Expense";"Completed";"2240.56";""
"20230509";"Internet Subscription";"NL37INGB00000000";"Internet Provider";"INT-20230509";"Debit";"45.99";"Expense";"Completed";"2194.57";""
"20230515";"Home Renovation";"NL37INGB00000000";"Construction Company";"REN-20230515";"Debit";"2500.00";"Expense";"Completed";"394.57";""
"20230520";"Childcare Expenses";"NL37INGB00000000";"Little Stars Daycare";"DAY-20230520";"Debit";"500.00";"Expense";"Completed";"-105.43";""
"20230525";"Grocery Shopping";"NL37INGB00000000";"Supermarket XYZ";"GRO-20230525";"Debit";"92.40";"Expense";"Completed";"-197.83";""
"20230530";"Car Insurance Payment";"NL37INGB00000000";"Insurance Company";"INS-20230530";"Debit";"180.00";"Expense";"Completed";"-377.83";""
"20230605";"Medical Expenses";"NL37INGB00000000";"Hospital";"MED-20230605";"Debit";"300.00";"Expense";"Completed";"-677.83";""
"20230611";"Childcare Expenses";"NL37INGB00000000";"Little Stars Daycare";"DAY-20230611";"Debit";"500.00";"Expense";"Completed";"-1177.83";""
"20230616";"Home Loan Payment";"NL37INGB00000000";"Mortgage Bank";"LOA-20230616";"Debit";"1200.00";"Expense";"Completed";"-2377.83";""
"20230621";"Grocery Shopping";"NL37INGB00000000";"Supermarket XYZ";"GRO-20230621";"Debit";"78.60";"Expense";"Completed";"-2456.43";""
"20230627";"Electricity Bill Payment";"NL37INGB00000000";"Utility Company";"BIL-20230627";"Debit";"80.00";"Expense";"Completed";"-2536.43";""
"20230702";"Car Service";"NL37INGB00000000";"Auto Repair";"SER-20230702";"Debit";"150.00";"Expense";"Completed";"-2686.43";""
"20230708";"Childcare Expenses";"NL37INGB00000000";"Little Stars Daycare";"DAY-20230708";"Debit";"500.00";"Expense";"Completed";"-3186.43";""
"20230713";"Insurance Premium";"NL37INGB00000000";"Insurance Company";"INS-20230713";"Debit";"160.00";"Expense";"Completed";"-3346.43";""
"20230719";"Internet Subscription";"NL37INGB00000000";"Internet Provider";"INT-20230719";"Debit";"45.99";"Expense";"Completed";"-3392.42";""
